objectid,country,name,company,group_comp,subgroup,groupid,area_ha
8121,IDN,PT. LANGGAM INTI HIBRINDO 3,PT. LANGGAM INTI HIBRINDO,Klau River Enterprise Sdn Bhd,,36,7134
8122,IDN,PT. PERKEBUNAN V (NES / PIR AIR MOLEK),PT. PERKEBUNAN V (NES / PIR AIR MOLEK),No group,,99,1020
8123,IDN,KEBUN SWADAYA 14,KEBUN SWADAYA,No group,,99,853
8124,IDN,PT. PEPUTRA SUPRA JAYA,PT. PEPUTRA SUPRA JAYA,Siak Raya Group,,65,17524
8125,IDN,PT. SAKTI SAWIT JAYA 2,PT. SAKTI SAWIT JAYA,No group,,99,2237
8126,IDN,PT. BINA FITRI JAYA,PT. BINA FITRI JAYA,No group,,99,4008
8127,IDN,PT. ARINDO TRI SEJAHTERA 1,PT. ARINDO TRI SEJAHTERA,Surya Dumai Group,,94,4949
8128,IDN,PT. ARINDO TRI SEJAHTERA 2,PT. ARINDO TRI SEJAHTERA,Surya Dumai Group,,94,3317
8129,IDN,PT. PERKEBUNAN IV BAGAN SINEMBAH,PT. PERKEBUNAN IV BAGAN SINEMBAH,No group,,99,25196
8130,IDN,PT. MURINI SAMSAM 2,PT. MURINI SAMSAM,Wilmar,,77,1457
8131,IDN,No name,No name,No group,,99,8963
8132,IDN,No name,No name,No group,,99,5009
8133,IDN,PT. MARITA MAKMUR JAYA 1,PT. MARITA MAKMUR JAYA,No group,,99,6235
8134,IDN,PT. MARITA MAKMUR JAYA 2,PT. MARITA MAKMUR JAYA,No group,,99,18678
8135,IDN,PT. SURYA DUMAI AGRINDO 2,PT. SURYA DUMAI AGRINDO,Surya Dumai Group,,94,3894
8136,Papua New Guinea,WNB,New Britain Palm Oil Ltd,NBPOL,,,36985
8137,Papua New Guinea,RAIL,Ramu Agri-Industries Ltd,NBPOL,,,12421
